Circuit: * Z:\home\peter\repos\pwm-charge-controller\ltspice\pwm5.asc

Direct Newton iteration for .op point succeeded.
Heightened Def Con from 3.24519e-005 to 3.24529e-005
Heightened Def Con from 3.24529e-005 to 3.24529e-005
Heightened Def Con from 3.24529e-005 to 3.24539e-005
Heightened Def Con from 3.24539e-005 to 3.24542e-005
Heightened Def Con from 3.24542e-005 to 3.24543e-005
Heightened Def Con from 3.24543e-005 to 3.24543e-005
Heightened Def Con from 3.24543e-005 to 3.24543e-005
Heightened Def Con from 3.24543e-005 to 3.24543e-005
Heightened Def Con from 3.24543e-005 +to 3.24553e-005
Heightened Def Con from 3.24645e-005 to 3.24665e-005
Heightened Def Con from 3.24736e-005 to 3.24746e-005
Heightened Def Con from 3.24746e-005 to 3.24748e-005
Heightened Def Con from 3.24748e-005 +to 3.24758e-005
Heightened Def Con from 3.24758e-005 to 3.24769e-005
Heightened Def Con from 3.24774e-005 to 3.24775e-005
Heightened Def Con from 3.24776e-005 to 3.24776e-005
Heightened Def Con from 3.24776e-005 +to 3.24786e-005
Heightened Def Con from 3.24786e-005 to 3.24787e-005
Heightened Def Con from 3.2479e-005 to 3.2481e-005
Heightened Def Con from 3.24845e-005 to 3.24856e-005
Heightened Def Con from 3.24864e-005 to 3.24884e-005
Heightened Def Con from 3.24886e-005 to 3.24896e-005
Heightened Def Con from 3.24896e-005 to 3.24897e-005
Heightened Def Con from 3.24897e-005 to 3.24897e-005
Heightened Def Con from 3.24897e-005 +to 3.24898e-005
Heightened Def Con from 3.24898e-005 to 3.24899e-005
Heightened Def Con from 3.24899e-005 to 3.24899e-005
Heightened Def Con from 3.24899e-005 to 3.24919e-005
Heightened Def Con from 3.24936e-005 to 3.24938e-005
Heightened Def Con from 3.24938e-005 to 3.24949e-005
Heightened Def Con from 3.24949e-005 to 3.24959e-005
Heightened Def Con from 3.24959e-005 to 3.2497e-005
Heightened Def Con from 3.2497e-005 to 3.2498e-005
Heightened Def Con from 3.2498e-005 to 3.2498e-005
Heightened Def Con from 3.2498e-005 to 3.2498e-005
Heightened Def Con from 3.2498e-005 to 3.24992e-005
Heightened Def Con from 3.24992e-005 to 3.25002e-005
Heightened Def Con from 3.25002e-005 to 3.25003e-005
Heightened Def Con from 3.25003e-005 to 3.25003e-005
Heightened Def Con from 3.25003e-005 to 3.25013e-005
Heightened Def Con from 3.25013e-005 to 3.25014e-005
Heightened Def Con from 3.25014e-005 to 3.25014e-005
Heightened Def Con from 3.25014e-005 to 3.25034e-005
Heightened Def Con from 3.25035e-005 to 3.25045e-005
